Nome,Membro,Circulo,Suplente,Lugar
Tiago Matos Gomes,PT0001,Lisboa,FALSE,1
Ana Carvalho,PT0003,Lisboa,FALSE,2
Miguel Macedo,PT0129,Lisboa,FALSE,3
Rebeca Gradíssimo,PT0010,Lisboa,FALSE,4
Vitor Moreira,PT0112,Lisboa,FALSE,5
Francisca Rey,PT0121,Lisboa,FALSE,6
Diogo Vasques,PT0017,Lisboa,FALSE,7
Inês Figueiredo,PT0208,Lisboa,FALSE,8
Miguel Duarte,PT0021,Lisboa,FALSE,9
Helena Luís,PT0070,Lisboa,FALSE,10
Miguel Rodeia,PT0240,Lisboa,FALSE,11
Patrícia Rodrigues,PT0022,Lisboa,FALSE,12
Rodrigo Lapa,PT0008,Lisboa,FALSE,13
Leonor Batista,PT0041,Lisboa,FALSE,14
Marco Graça,PT0175,Lisboa,FALSE,15
Susana Amaral,Independente,Lisboa,FALSE,16
Marcos Melo Antunes,PT0012,Lisboa,FALSE,17
Rita Barreiros Alves,Independente,Lisboa,FALSE,18
Ruben Vitorino,PT0148,Lisboa,FALSE,19
Gina Flor,Independente,Lisboa,FALSE,20
Afonso Alves,PT0013,Lisboa,FALSE,21
Kirti Unadkat,Independente,Lisboa,FALSE,22
Nandan Niranjan Bhoopalam,PT0035,Lisboa,FALSE,23
Inácia Sá,Independente,Lisboa,FALSE,24
Rui Dias,PT0015,Lisboa,FALSE,25
Laura Macedo,Independente,Lisboa,FALSE,26
Sergio Pinheiro,PT0219,Lisboa,FALSE,27
Nádia Vale,Independente,Lisboa,FALSE,28
Gonçalo Reis,PT0033,Lisboa,FALSE,29
Maria de Lurdes,Independente,Lisboa,FALSE,30
Fábio Dias,PT0149,Lisboa,FALSE,31
Raquel Rodrigues,Independente,Lisboa,FALSE,32
Alexandre Paulo,PT0177,Lisboa,FALSE,33
Ana Beatriz,Independente,Lisboa,FALSE,34
Nuno Barros,PT208,Lisboa,FALSE,35
Eda Sirma,Independente,Lisboa,FALSE,36
Eduardo Faria,PT0055,Lisboa,FALSE,37
Adélia Felício,Independente,Lisboa,FALSE,38
Miguel Marinho,PT0215,Lisboa,FALSE,39
Sandra Gonçalves,Independente,Lisboa,FALSE,40
André Mateus,PT0145,Lisboa,FALSE,41
Maria Margarida Simão,Independente,Lisboa,FALSE,42
João Dias,PT0131,Lisboa,FALSE,43
Raquel Diogo,Independente,Lisboa,FALSE,44
João Barata Oliveira,PT0249,Lisboa,FALSE,45
Rita Gonçalves,Independente,Lisboa,FALSE,46
Mateus Carvalho,PT0002,Lisboa,FALSE,47
Natália Matos Gomes,Independente,Lisboa,FALSE,48
António Carvalho,Independente,Lisboa,TRUE,49
Matilde Gomes Independente,Independente,Lisboa,TRUE,50
Paulo Alexandre Carvalho,PT0069,Lisboa,TRUE,51
Cinthia Santos,Independente,Lisboa,TRUE,52
Pedro Souto,Independente,Lisboa,TRUE,53
João Pessanha de Andrade,PT0007,Porto,FALSE,1
Cátia Geraldes,PT0166,Porto,FALSE,2
André Eira,PT0053,Porto,FALSE,3
Jorge Pina Rodrigues,PT0119,Porto,FALSE,4
Liliana Duarte da Mota,Independente,Porto,FALSE,5
Ricardo Vieira Pereira,PT0235,Porto,FALSE,6
Francisco Matos,PT0128,Porto,FALSE,7
Inês Oliveira,Independente,Porto,FALSE,8
Daniel Gaio,PT0023,Porto,FALSE,9
Ana João Amaral Azevedo,Independente,Porto,FALSE,10
Filipe Correia,PT0116,Porto,FALSE,11
Catarina Pereira da Silva,Independente,Porto,FALSE,12
Ricardo Bruce Miranda,PT0102,Porto,FALSE,13
Maria Pessanha de Andrade Independente,Independente,Porto,FALSE,14
Ivo Brito Garcia,Independente,Porto,FALSE,15
