circulo,partido,nome,tipo
Lisboa,Volt,Tiago Matos Gomes,efetivo
Lisboa,Volt,Ana Carvalho,efetivo
Lisboa,Volt,Miguel Macedo,efetivo
Lisboa,Volt,Rebeca Gradíssimo,efetivo
Lisboa,Volt,Vitor Moreira,efetivo
Lisboa,Volt,Francisca Rey,efetivo
Lisboa,Volt,Diogo Vasques,efetivo
Lisboa,Volt,Inês Figueiredo,efetivo
Lisboa,Volt,Miguel Duarte,efetivo
Lisboa,Volt,Helena Luís,efetivo
Lisboa,Volt,Miguel Rodeia,efetivo
Lisboa,Volt,Patrícia Rodrigues,efetivo
Lisboa,Volt,Rodrigo Lapa,efetivo
Lisboa,Volt,Leonor Batista,efetivo
Lisboa,Volt,Marco Graça,efetivo
Lisboa,Volt,Susana Amaral,efetivo
Lisboa,Volt,Marcos Melo Antunes,efetivo
Lisboa,Volt,Rita Barreiros Alves,efetivo
Lisboa,Volt,Ruben Vitorino,efetivo
Lisboa,Volt,Gina Flor,efetivo
Lisboa,Volt,Afonso Alves,efetivo
Lisboa,Volt,Kirti Unadkat,efetivo
Lisboa,Volt,Nandan Niranjan Bhoopalam,efetivo
Lisboa,Volt,Inácia Sá,efetivo
Lisboa,Volt,Rui Dias,efetivo
Lisboa,Volt,Laura Macedo,efetivo
Lisboa,Volt,Sergio Pinheiro,efetivo
Lisboa,Volt,Nádia Vale,efetivo
Lisboa,Volt,Gonçalo Reis,efetivo
Lisboa,Volt,Maria de Lurdes,efetivo
Lisboa,Volt,Fábio Dias,efetivo
Lisboa,Volt,Raquel Rodrigues,efetivo
Lisboa,Volt,Alexandre Paulo,efetivo
Lisboa,Volt,Ana Beatriz,efetivo
Lisboa,Volt,Nuno Barros,efetivo
Lisboa,Volt,Eda Sirma,efetivo
Lisboa,Volt,Eduardo Faria,efetivo
Lisboa,Volt,Adélia Felício,efetivo
Lisboa,Volt,Miguel Marinho,efetivo
Lisboa,Volt,Sandra Gonçalves,efetivo
Lisboa,Volt,André Mateus,efetivo
Lisboa,Volt,Maria Margarida Simão,efetivo
Lisboa,Volt,João Dias,efetivo
Lisboa,Volt,Raquel Diogo,efetivo
Lisboa,Volt,João Barata Oliveira,efetivo
Lisboa,Volt,Rita Gonçalves,efetivo
Lisboa,Volt,Mateus Carvalho,efetivo
Lisboa,Volt,Natália Matos Gomes,efetivo
Lisboa,Volt,António Carvalho,suplente
Lisboa,Volt,Matilde Gomes Independente,suplente
Lisboa,Volt,Paulo Alexandre Carvalho,suplente
Lisboa,Volt,Cinthia Santos,suplente
Lisboa,Volt,Pedro Souto,suplente
Porto,Volt,João Pessanha de Andrade,efetivo
Porto,Volt,Cátia Geraldes,efetivo
Porto,Volt,André Eira,efetivo
Porto,Volt,Jorge Pina Rodrigues,efetivo
Porto,Volt,Liliana Duarte da Mota,efetivo
Porto,Volt,Ricardo Vieira Pereira,efetivo
Porto,Volt,Francisco Matos,efetivo
Porto,Volt,Inês Oliveira,efetivo
Porto,Volt,Daniel Gaio,efetivo
Porto,Volt,Ana João Amaral Azevedo,efetivo
Porto,Volt,Filipe Correia,efetivo
Porto,Volt,Catarina Pereira da Silva,efetivo
Porto,Volt,Ricardo Bruce Miranda,efetivo
Porto,Volt,Maria Pessanha de Andrade Independente,efetivo
Porto,Volt,Ivo Brito Garcia,efetivo
Porto,Volt,Maria Fernanda Gaio,efetivo
Porto,Volt,Gustavo Mendes,efetivo
Porto,Volt,Cheila Vanine de Oliveira Monteiro,efetivo
Porto,Volt,Tiago Silva,efetivo
Porto,Volt,Denize Franco,efetivo
Porto,Volt,José Carlos da Rocha Correia,efetivo
Porto,Volt,Ana Rita Moura Sá Cunha,efetivo
Porto,Volt,Tiago Pereira,efetivo
Porto,Volt,Deolinda de Sousa da Silva Pereira,efetivo
Porto,Volt,Carlos Ferreira,efetivo
Porto,Volt,Ana Cristina da Silva Ferreira,efetivo
Porto,Volt,Tomás Lickfold,efetivo
Porto,Volt,Angela Costa Silva,efetivo
Porto,Volt,Pedro Santos,efetivo
Porto,Volt,Cristina João Correia da Cunha Mendes,efetivo
Porto,Volt,Francisco Jesus,efetivo
Porto,Volt,Paula Barbosa,efetivo
Porto,Volt,Bernardo Ferro,efetivo
Porto,Volt,Sofia da Costa Fonseca Independente,efetivo
Porto,Volt,Francisco Pardal Independente,efetivo
Porto,Volt,Maria João Pereira dos Santos,efetivo
Porto,Volt,Pedro Porto,efetivo
Porto,Volt,Francisco Mota,efetivo
Porto,Volt,Adriana Maria Pereira Alves,efetivo
Porto,Volt,Fábio Teixeira,efetivo
Porto,Volt,Frederico Roeber,suplente
Porto,Volt,Ana Ribeiro Gomes,suplente
Porto,Volt,Paulo Pessanha de Andrade,suplente
Porto,Volt,Eurico Lopes Cardoso,suplente
Braga,Volt,Miguel Amador Rosa,efetivo
Braga,Volt,Carla Barroso,efetivo
Braga,Volt,Mário Rui Lourenço,efetivo
Braga,Volt,Diana Fernandes Independente,efetivo
Braga,Volt,Paulo Figueiredo,efetivo
Braga,Volt,Carina Silva,efetivo
Braga,Volt,Isidro Coelho,efetivo
Braga,Volt,Maria Amador Mendes,efetivo
Braga,Volt,Tiago Afonso,efetivo
Braga,Volt,Joana Guimarães,efetivo
